Indicator,continent,code,country,year,sex,Suicide Rate
Age-standardized suicide rates (per 100 000 population),Americas,ATG,Antigua and Barbuda,2019,Male,0
Age-standardized suicide rates (per 100 000 population),Americas,BRB,Barbados,2019,Female,0.16
Age-standardized suicide rates (per 100 000 population),Americas,BRB,Barbados,2019,Both sexes,0.31
Age-standardized suicide rates (per 100 000 population),Americas,ATG,Antigua and Barbuda,2019,Both sexes,0.32
Age-standardized suicide rates (per 100 000 population),Americas,BRB,Barbados,2019,Male,0.49
Age-standardized suicide rates (per 100 000 population),Americas,GRD,Grenada,2019,Male,0.53
Age-standardized suicide rates (per 100 000 population),Americas,ATG,Antigua and Barbuda,2019,Female,0.6
Age-standardized suicide rates (per 100 000 population),Americas,GRD,Grenada,2019,Both sexes,0.64
Age-standardized suicide rates (per 100 000 population),Americas,VCT,Saint Vincent and the Grenadines,2019,Female,0.67
Age-standardized suicide rates (per 100 000 population),Americas,VEN,Venezuela (Bolivarian Republic of),2019,Female,0.69
Age-standardized suicide rates (per 100 000 population),Americas,GRD,Grenada,2019,Female,0.73
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,KWT,Kuwait,2019,Female,0.74
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Female,0.75
Age-standardized suicide rates (per 100 000 population),Western Pacific,BRN,Brunei Darussalam,2019,Female,0.78
Age-standardized suicide rates (per 100 000 population),South-East Asia,MDV,Maldives,2019,Female,0.85
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,JOR,Jordan,2019,Female,0.93
Age-standardized suicide rates (per 100 000 population),Americas,HND,Honduras,2019,Female,0.98
Age-standardized suicide rates (per 100 000 population),Americas,PAN,Panama,2019,Female,0.98
Age-standardized suicide rates (per 100 000 population),Americas,JAM,Jamaica,2019,Female,1
Age-standardized suicide rates (per 100 000 population),Americas,VCT,Saint Vincent and the Grenadines,2019,Both sexes,1.01
Age-standardized suicide rates (per 100 000 population),Europe,ARM,Armenia,2019,Female,1.02
Age-standardized suicide rates (per 100 000 population),Europe,CYP,Cyprus,2019,Female,1.06
Age-standardized suicide rates (per 100 000 population),South-East Asia,MMR,Myanmar,2019,Female,1.09
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,OMN,Oman,2019,Female,1.12
Age-standardized suicide rates (per 100 000 population),Africa,STP,Sao Tome and Principe,2019,Female,1.15
Age-standardized suicide rates (per 100 000 population),South-East Asia,IDN,Indonesia,2019,Female,1.15
Age-standardized suicide rates (per 100 000 population),Europe,TUR,Türkiye,2019,Female,1.19
Age-standardized suicide rates (per 100 000 population),Americas,BHS,Bahamas,2019,Female,1.23
Age-standardized suicide rates (per 100 000 population),Western Pacific,PHL,Philippines,2019,Female,1.32
Age-standardized suicide rates (per 100 000 population),Africa,SYC,Seychelles,2019,Female,1.33
Age-standardized suicide rates (per 100 000 population),Americas,VCT,Saint Vincent and the Grenadines,2019,Male,1.33
Age-standardized suicide rates (per 100 000 population),Americas,PER,Peru,2019,Female,1.38
Age-standardized suicide rates (per 100 000 population),Europe,GRC,Greece,2019,Female,1.45
Age-standardized suicide rates (per 100 000 population),Americas,LCA,Saint Lucia,2019,Female,1.47
Age-standardized suicide rates (per 100 000 population),Europe,AZE,Azerbaijan,2019,Female,1.48
Age-standardized suicide rates (per 100 000 population),South-East Asia,BGD,Bangladesh,2019,Female,1.66
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,LBN,Lebanon,2019,Female,1.67
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,QAT,Qatar,2019,Female,1.69
Age-standardized suicide rates (per 100 000 population),Americas,COL,Colombia,2019,Female,1.71
Age-standardized suicide rates (per 100 000 population),Africa,GHA,Ghana,2019,Female,1.79
Age-standardized suicide rates (per 100 000 population),Americas,BLZ,Belize,2019,Female,1.83
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,TUN,Tunisia,2019,Female,1.84
Age-standardized suicide rates (per 100 000 population),Americas,DOM,Dominican Republic,2019,Female,1.85
Age-standardized suicide rates (per 100 000 population),Africa,DZA,Algeria,2019,Female,1.9
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SAU,Saudi Arabia,2019,Female,1.91
Age-standardized suicide rates (per 100 000 population),Americas,NIC,Nicaragua,2019,Female,1.91
Age-standardized suicide rates (per 100 000 population),Western Pacific,PNG,Papua New Guinea,2019,Female,1.93
Age-standardized suicide rates (per 100 000 population),Americas,CRI,Costa Rica,2019,Female,1.93
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,JOR,Jordan,2019,Both sexes,1.98
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,MAR,Morocco,2019,Male,10.07
Age-standardized suicide rates (per 100 000 population),Africa,NGA,Nigeria,2019,Male,10.13
Age-standardized suicide rates (per 100 000 population),Africa,NER,Niger,2019,Both sexes,10.15
Age-standardized suicide rates (per 100 000 population),Americas,CUB,Cuba,2019,Both sexes,10.19
Age-standardized suicide rates (per 100 000 population),Western Pacific,NZL,New Zealand,2019,Both sexes,10.3
Age-standardized suicide rates (per 100 000 population),Americas,GTM,Guatemala,2019,Male,10.31
Age-standardized suicide rates (per 100 000 population),Americas,BRA,Brazil,2019,Male,10.32
Age-standardized suicide rates (per 100 000 population),Americas,CAN,Canada,2019,Both sexes,10.34
Age-standardized suicide rates (per 100 000 population),Africa,SSD,South Sudan,2019,Male,10.38
Age-standardized suicide rates (per 100 000 population),Europe,AUT,Austria,2019,Both sexes,10.4
Age-standardized suicide rates (per 100 000 population),Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2019,Male,10.4
Age-standardized suicide rates (per 100 000 population),Africa,UGA,Uganda,2019,Both sexes,10.45
Age-standardized suicide rates (per 100 000 population),Africa,MLI,Mali,2019,Male,10.46
Age-standardized suicide rates (per 100 000 population),Africa,GHA,Ghana,2019,Both sexes,10.54
Age-standardized suicide rates (per 100 000 population),Western Pacific,VNM,Viet Nam,2019,Male,10.56
Age-standardized suicide rates (per 100 000 population),Europe,BGR,Bulgaria,2019,Male,10.57
Age-standardized suicide rates (per 100 000 population),Africa,MWI,Malawi,2019,Both sexes,10.58
Age-standardized suicide rates (per 100 000 population),South-East Asia,PRK,Democratic People's Republic of Korea,2019,Male,10.65
Age-standardized suicide rates (per 100 000 population),Europe,MKD,The former Yugoslav Republic of Macedonia,2019,Male,10.98
Age-standardized suicide rates (per 100 000 population),Africa,SEN,Senegal,2019,Both sexes,10.99
Age-standardized suicide rates (per 100 000 population),Africa,KEN,Kenya,2019,Both sexes,11.01
Age-standardized suicide rates (per 100 000 population),Europe,HRV,Croatia,2019,Both sexes,11.01
Age-standardized suicide rates (per 100 000 population),Europe,DNK,Denmark,2019,Male,11.1
Age-standardized suicide rates (per 100 000 population),South-East Asia,IND,India,2019,Female,11.12
Age-standardized suicide rates (per 100 000 population),Americas,SLV,El Salvador,2019,Male,11.14
Age-standardized suicide rates (per 100 000 population),Europe,ISL,Iceland,2019,Both sexes,11.15
Age-standardized suicide rates (per 100 000 population),Americas,HTI,Haiti,2019,Both sexes,11.17
Age-standardized suicide rates (per 100 000 population),Africa,SLE,Sierra Leone,2019,Both sexes,11.25
Age-standardized suicide rates (per 100 000 population),Western Pacific,AUS,Australia,2019,Both sexes,11.25
Age-standardized suicide rates (per 100 000 population),Africa,COM,Comoros,2019,Male,11.33
Age-standardized suicide rates (per 100 000 population),Europe,PRT,Portugal,2019,Male,11.58
Age-standardized suicide rates (per 100 000 population),Africa,COG,Congo,2019,Both sexes,11.62
Age-standardized suicide rates (per 100 000 population),Europe,HUN,Hungary,2019,Both sexes,11.77
Age-standardized suicide rates (per 100 000 population),Americas,SUR,Suriname,2019,Female,11.79
Age-standardized suicide rates (per 100 000 population),Europe,LUX,Luxembourg,2019,Male,11.81
Age-standardized suicide rates (per 100 000 population),Europe,UZB,Uzbekistan,2019,Male,11.84
Age-standardized suicide rates (per 100 000 population),Americas,ECU,Ecuador,2019,Male,11.88
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,DJI,Djibouti,2019,Both sexes,11.95
Age-standardized suicide rates (per 100 000 population),Europe,EST,Estonia,2019,Both sexes,11.96
Age-standardized suicide rates (per 100 000 population),Africa,BDI,Burundi,2019,Both sexes,12.12
Age-standardized suicide rates (per 100 000 population),Europe,MDA,Republic of Moldova,2019,Both sexes,12.17
Age-standardized suicide rates (per 100 000 population),Europe,SRB,Serbia,2019,Male,12.22
Age-standardized suicide rates (per 100 000 population),Western Pacific,JPN,Japan,2019,Both sexes,12.24
Age-standardized suicide rates (per 100 000 population),Africa,GIN,Guinea,2019,Both sexes,12.33
Age-standardized suicide rates (per 100 000 population),Europe,SWE,Sweden,2019,Both sexes,12.37
Age-standardized suicide rates (per 100 000 population),Africa,GNB,Guinea-Bissau,2019,Both sexes,12.38
Age-standardized suicide rates (per 100 000 population),Africa,COD,Democratic Republic of the Congo,2019,Both sexes,12.41
Age-standardized suicide rates (per 100 000 population),Europe,NLD,Netherlands,2019,Male,12.48
Age-standardized suicide rates (per 100 000 population),Americas,LCA,Saint Lucia,2019,Male,12.51
Age-standardized suicide rates (per 100 000 population),Africa,AGO,Angola,2019,Both sexes,12.55
Age-standardized suicide rates (per 100 000 population),Europe,ROU,Romania,2019,Male,12.62
Age-standardized suicide rates (per 100 000 population),Western Pacific,SGP,Singapore,2019,Male,12.67
Age-standardized suicide rates (per 100 000 population),Africa,BEN,Benin,2019,Both sexes,12.71
Age-standardized suicide rates (per 100 000 population),Europe,DEU,Germany,2019,Male,12.8
Age-standardized suicide rates (per 100 000 population),South-East Asia,LKA,Sri Lanka,2019,Both sexes,12.89
