name,personality,total votes,first letter votes percentage,second letter votes percentage,third letter votes percentage,fourth letter votes percentage,first function,second function,third function,fourth function,Instinctual_Variant_type,Tritype_type,Socionics_type,Big5_type,Attitudinal_Psyche_type,Temperaments_type,fourletters_type_votes,Instinctual_Variant_total_votes,Tritype_total_votes,Socionics_total_votes,Big5_total_votes,Attitudinal_Psyche_total_votes,Temperaments_total_votes,Instinctual_Variant_type_votes,Tritype_type_votes,Socionics_type_votes,Big5_type_votes,Attitudinal_Psyche_type_votes,Temperaments_type_votes
Kim Kardashian,istj,1289,80%,97%,44%,86%,Si,Te,Fi,Ne,so/sp,369,ESI,SCOAN,FVEL,Phlegmatic-Melancholic,500,93,78,57,38,16,64,50,44,25,22,8,35
Sigmund Freud,istj,1128,95%,58%,90%,88%,Si,Te,Fi,Ne,sp/sx,614,LSI,RCOEI,LVFE,Melancholic-Choleric,607,96,68,79,41,39,68,59,38,52,35,25,54
Irene (Red Velvet),istj,964,97%,79%,90%,98%,Si,Te,Fi,Ne,sp/so,162,ESI,RCOEN,LVFE,Melancholic-Choleric,672,115,109,42,75,22,104,91,53,29,41,13,90
Tzuyu (TWICE),istj,910,99%,97%,71%,54%,Si,Te,Fi,Ne,sp/so,962,SLI,RCOAN,FLEV,Phlegmatic [Dominant],454,96,83,40,63,17,121,90,51,33,40,10,112
Moriah Rose Pereira (Poppy),istj,857,99%,59%,80%,77%,Si,Te,Fi,Ne,sx/sp,458,ILI,RLOEI,LVEF,Melancholic-Choleric,338,76,80,42,28,14,64,56,40,23,23,8,45
Queen Elizabeth II,istj,805,96%,97%,88%,98%,Si,Te,Fi,Ne,sp/so,136,ESI,RCOAN,VLEF,Choleric-Phlegmatic,682,78,71,63,39,15,65,63,47,33,21,7,44
Jeff Bezos,istj,648,81%,72%,97%,92%,Si,Te,Fi,Ne,sp/so,386,LSE,RCOEI,VFLE,Choleric [Dominant],421,63,49,64,32,12,55,50,21,37,18,6,38
Jade Picon,istj,473,62%,91%,93%,95%,Si,Te,Fi,Ne,sp/sx,316,LSE,RCOEN,VFLE,Phlegmatic-Choleric,259,97,95,47,75,28,142,54,33,25,35,10,65
Vitor Santos (Metaforando),istj,508,98%,53%,99%,61%,Si,Te,Fi,Ne,so/sp,513,LII,RCOAI,LVFE,Phlegmatic [Dominant],255,81,71,44,34,17,75,61,27,25,21,14,66
Natalie Portman,istj,548,96%,80%,79%,93%,Si,Te,Fi,Ne,sp/so,152,LII,RCOEI,VLEF,Melancholic [Dominant],410,60,52,42,20,12,47,28,32,15,14,8,22
